ID;Type;Summary;State;Assigned User;Project;Purpose;Precondition;Events;Expected Result;Created Date;Test Design Technique;Test Methods
22450127;TM_Test Case;SW_DIA_TEST_C1P_6.1.4.1_10_004_M0400;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the diagnostic session control (0x10) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (development session) with functional addressing.;Sending 0x104F (Development session) request in the acceptable wheel speed limit range and out of the acceptable wheel speed limit range.;Positive response with the proper P2CAN_Server_max values or negative response.;10.31.2019 09:29:36;;Requirement-based test
22450195;TM_Test Case;SW_DIA_TEST_C1P_6.1.4.1_10_001_M0100;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the diagnostic session control (0x10) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (default session) with functional addressing.;Sending 0x1001 (Defaut session) request in the acceptable wheel speed limit range and out of the acceptable wheel speed limit range.;Positive response with the proper P2CAN_Server_max values or negative response.;10.31.2019 09:30:21;;Requirement-based test
26022204;TM_Test Case;SW_DIA_BR_TEST_C1P_6.11.4.1_2E_044_M0200;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the write data by common ID (0x2E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (extended session) with physical addressing.;Sending 0x2E0A33 (Fill and bleed information) requests with the valid values and checking the written values with the related reading command,sending 0x2E0A33 requests with the non-valid written values.;Positive responses with the valid previously written values or NRC 0x31 negative responses.;11.16.2020 19:28:42;;Requirement-based test
26022206;TM_Test Case;SW_DIA_BR_TEST_C1P_6.4.4.1_3E_001_M0200;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the tester present (0x3E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (extended session) with functional addressing.;Sending 0x3E00 (Tester present) request, checking the entered session availability in the acceptable timeout range and out of the acceptable timeout range.;Positive response with correct communication messages.;11.16.2020 19:32:09;;Requirement-based test
26022208;TM_Test Case;SW_DIA_BR_TEST_C1P_6.4.4.1_3E_002_M0100;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the tester present (0x3E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (default session) with functional addressing.;Sending 0x3E80 (Tester present) request, checking the entered session availability in the acceptable timeout range and out of the acceptable timeout range.;Positive response (no response).;11.16.2020 19:32:31;;Requirement-based test
26022210;TM_Test Case;SW_DIA_BR_TEST_C1P_6.11.4.1_2E_045_M0400;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the write data by common ID (0x2E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (development session) with physical addressing.;Sending 0x2E0500 (Dynamic developer function 01) requests with the valid values and checking the written values with the related reading command,sending 0x2E0500 requests with the wrong length of written values.;Positive responses with the valid previously written values or NRC 0x13 negative responses.;11.16.2020 19:32:58;;Requirement-based test
26022212;TM_Test Case;SW_DIA_BR_TEST_C1P_6.11.4.1_2E_044_M0300;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the write data by common ID (0x2E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (EOL session) with physical addressing.;Sending 0x2E0A33 (Fill and bleed information) requests with the valid values and checking the written values with the related reading command,sending 0x2E0A33 requests with the non-valid written values.;Positive responses with the valid previously written values or NRC 0x31 negative responses.;11.16.2020 19:33:20;;Requirement-based test
26022214;TM_Test Case;SW_DIA_BR_TEST_C1P_6.19.4.1_2F_001_M0300;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the Input Output Control By Identifier (0x2F) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (EOL session) with physical addressing.;Checking that there is no active inlet valve activation with command 0x220258,activating IO control front left ABS inlet valve with command 0x2F0258030A02000000 (Inlet Valves),checking that IFL is acitvated with command 0x220258 and output channel,activating IO control front left ABS inlet valve with command 0x2F0258030A00080000,checking that IFL is acitvated with command 0x220258 and output channel,activating rear left ABS inlet valve with command 0x2F0258030A00002000,checking that IRR is activated with command 0x220258 and output channel,stopping IO control activations with command 0x2F0258,checking the activation status with commands 0x220258 and 0x220100.;Positive responses with correct values and response length. ;11.16.2020 19:33:44;;Requirement-based test
26022216;TM_Test Case;SW_DIA_BR_TEST_C1P_6.11.4.1_2E_037_M0400;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the write data by common ID (0x2E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (development session) with physical addressing.;Sending 0x2E0600 (Coding value) request with the wrong length of written values,sending 0x2E0600 (Coding value) requests with the valid values and checking the written values with the related reading command,sending 0x2E0600 request in the non-valid session.;Positive responses with the valid previously written values or NRC 0x13 and NRC 0x31 negative responses.;11.16.2020 19:34:06;;Requirement-based test
26022219;TM_Test Case;SW_DIA_BR_TEST_C1P_6.4.4.1_3E_001_M0300;IN_PROCESS;;/mainline;Diagnostic functionality check: the software should respond positively or negatively to the tester present (0x3E) requests of the diagnostic tool.;The environment should be failure-free with a proper bytecode. Entering one of the supported mode (EOL session) with functional addressing.;Sending 0x3E00 (Tester present) request, checking the entered session availability in the acceptable timeout range and out of the acceptable timeout range.;Positive response with correct communication messages.;11.16.2020 19:34:48;;Requirement-based test
